Workbook,Worksheet,Cell,ParameterName,DisplayedValue,RawValue,Formula,DataType,Units,Comment,ValidationRule,FormulaError,NamedRange,ExternalLink
Calc_10006_023.xls,Sheet1,$B$103,R1BHD_Angle_Hole_Mid_Suppression,1.000,1.0,='Excel Calcs'!E59,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$104,R1BHD_Angle_Hole_Top_Suppression,1.000,1.0,='Excel Calcs'!E60,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$105,R1Post_Width,5.690,5.69,='Excel Calcs'!E63,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$106,Stacking_Rack_RightPost_Thk,0.105,0.10501,='Excel Calcs'!E64,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$107,Post_Tie_Ang_Btm_Height,36.750,36.75,='Excel Calcs'!E70,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$108,Post_Tie_Ang_Btm_Width,1.000,1.0,='Excel Calcs'!E71,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$109,Post_Tie_Ang_Btm_Flg1,1.500,1.5,='Excel Calcs'!E72,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$110,Post_Tie_Ang_Thk,0.105,0.10501,='Excel Calcs'!E73,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$111,Post_Tie_Ang_Coil_Mtg_Hole1_Y_Loc,0.750,0.75,='Excel Calcs'!E75,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$112,Post_Tie_Ang_Coil_Mtg_Array_Hole_Y_Loc,6.375,6.375,='Excel Calcs'!E76,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$113,Post_Tie_Ang_Coil_Mtg_Hole2_Y_Loc,36.000,36.0,='Excel Calcs'!E77,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$114,Post_Tie_Ang_Hole2_X_Loc,0.375,0.375,='Excel Calcs'!E78,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$115,Post_Tie_Ang_Hole2_Y_Loc,0.750,0.75,='Excel Calcs'!E79,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$116,Post_Tie_Ang_Hole2_Array_Qty,7.000,7.0,='Excel Calcs'!E81,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$117,Post_Tie_Ang_Hole2_Array_Dist,5.875,5.875,='Excel Calcs'!E82,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$118,Post_Tie_Ang_Mid_Height,36.750,36.75,='Excel Calcs'!E85,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$119,Post_Tie_Ang_Mid_Coil_Array_Hole_Y_Loc,6.375,6.375,='Excel Calcs'!E86,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$120,Post_Tie_Ang_Mid_Coil_Hole2_Y_Loc,36.000,36.0,='Excel Calcs'!E87,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$121,Post_Tie_Ang_Mid_Coil_Hole2_Array_Qty,7.000,7.0,='Excel Calcs'!E88,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$122,Post_Tie_Ang_Mid_Coil_Hole2_Array_Dist,5.875,5.875,='Excel Calcs'!E89,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$123,LR2BHD_Width,6.690,6.69,='Excel Calcs'!E92,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$124,LR2BHD_Height,40.903,40.90299000000002,='Excel Calcs'!E93,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$125,LR2BHD_Flg1Size,1.888,1.888,='Excel Calcs'!E94,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$126,LR1BHD_Y_Hole1_Loc,4.395,4.394990000000007,='Excel Calcs'!E95,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$127,LR1BHD_Y_Hole1_ArrayDist,6.875,6.875,='Excel Calcs'!E96,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$128,LR1BHD_Y_Hole1_ArrayQty,5.000,5.0,='Excel Calcs'!E97,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$129,LR1BHD_Y_Hole2_ArrayQty,8.000,8.0,='Excel Calcs'!E98,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$130,LR1BHD_Y_Hole2_ArrayDist,5.287,5.286857142857145,='Excel Calcs'!E99,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$131,LR1BHD_CutOut_W,1.000,1.0,='Excel Calcs'!E100,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$132,LR1BHD_CutOut_H,0.060,0.06001,='Excel Calcs'!E101,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$133,LR1BHD_CutOut1_H,1.500,1.5,='Excel Calcs'!E102,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$134,LR1BHD_Y_Hole3_ArrayQty,8.000,8.0,='Excel Calcs'!E103,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$135,LR1BHD_Y_Hole3_ArrayDist,5.073,5.072571428571431,='Excel Calcs'!E104,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$136,HEADER_Sup_Width,1.863,1.863,='Excel Calcs'!E111,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$137,HEADER_Sup_Height,2.000,2.0,='Excel Calcs'!E112,Number,in,,,,,No
